"","baker","series","episode","technical","signature_bake","show_stopper","result","baker_name","baker_age","baker_occupation","hometown"
"358","Ruby",4,7,2,"Plum Jam Roly-Polywith Ginger Ice cream","Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts","IN","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"359","Glenn",4,7,3,"Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille","OUT","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"360","Frances",4,7,5,"Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers","STAR BAKER","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"361","Ali",4,7,NA,NA,NA,NA,"Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"362","Deborah",4,7,NA,NA,NA,NA,"Deborah Manger",51,"Dentist","Peterborough"
"363","Howard",4,7,NA,NA,NA,NA,"Howard Middleton",51,"Council Worker","Sheffield"
"364","Lucy",4,7,NA,NA,NA,NA,"Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"365","Mark",4,7,NA,NA,NA,NA,"Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"366","Robert",4,7,NA,NA,NA,NA,"Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"367","Toby",4,7,NA,NA,NA,NA,"Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"368","Beca",4,8,4,"Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake","IN","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"369","Frances",4,8,3,"'Chelsea Flour Show' Bun Bouquet","Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)","IN","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"370","Kimberley",4,8,2,"Wild Garlic Pesto and Parma Ham Spelt Loaf","Butternut Squash and Spice Cake Toadstool House","IN","Kimberley Wilson",30,"Psychologist","London"
"371","Christine",4,8,5,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant","OUT","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"372","Ruby",4,8,1,"Mango and Nigella Seed Spelt Cob","Carrot Cake and Pistachio Garden Plot","STAR BAKER","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"373","Ali",4,8,NA,NA,NA,NA,"Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"374","Deborah",4,8,NA,NA,NA,NA,"Deborah Manger",51,"Dentist","Peterborough"
"375","Glenn",4,8,NA,NA,NA,NA,"Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"376","Howard",4,8,NA,NA,NA,NA,"Howard Middleton",51,"Council Worker","Sheffield"
"377","Lucy",4,8,NA,NA,NA,NA,"Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"378","Mark",4,8,NA,NA,NA,NA,"Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"379","Robert",4,8,NA,NA,NA,NA,"Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"380","Toby",4,8,NA,NA,NA,NA,"Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"381","Frances",4,9,2,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones","Great British Soap Opera Cake","IN","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"382","Ruby",4,9,4,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake","IN","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"383","Beca",4,9,3,"Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake","OUT","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"384","Kimberley",4,9,1,"Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","Passion Fruit and Lime Opera Cake","STAR BAKER","Kimberley Wilson",30,"Psychologist","London"
"385","Ali",4,9,NA,NA,NA,NA,"Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"386","Christine",4,9,NA,NA,NA,NA,"Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"387","Deborah",4,9,NA,NA,NA,NA,"Deborah Manger",51,"Dentist","Peterborough"
"388","Glenn",4,9,NA,NA,NA,NA,"Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"389","Howard",4,9,NA,NA,NA,NA,"Howard Middleton",51,"Council Worker","Sheffield"
"390","Lucy",4,9,NA,NA,NA,NA,"Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"391","Mark",4,9,NA,NA,NA,NA,"Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"392","Robert",4,9,NA,NA,NA,NA,"Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"393","Toby",4,9,NA,NA,NA,NA,"Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"394","Kimberley",4,10,1,"Chicken and Pig Pie","Languages of Love Wedding Cake","Runner-up","Kimberley Wilson",30,"Psychologist","London"
"395","Ruby",4,10,2,"Picnic Basket Pie","Raspberry, Lemon and Passion Fruit Wedding Cake","Runner-up","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"396","Frances",4,10,3,"Rainbow Picnic Pie","Midsummer Night's Dream Wedding Cake","WINNER","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"397","Ali",4,10,NA,NA,NA,NA,"Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"398","Beca",4,10,NA,NA,NA,NA,"Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"399","Christine",4,10,NA,NA,NA,NA,"Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"400","Deborah",4,10,NA,NA,NA,NA,"Deborah Manger",51,"Dentist","Peterborough"
"401","Glenn",4,10,NA,NA,NA,NA,"Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"402","Howard",4,10,NA,NA,NA,NA,"Howard Middleton",51,"Council Worker","Sheffield"
"403","Lucy",4,10,NA,NA,NA,NA,"Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"404","Mark",4,10,NA,NA,NA,NA,"Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"405","Robert",4,10,NA,NA,NA,NA,"Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"406","Toby",4,10,NA,NA,NA,NA,"Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"407","Chetna",5,1,3,"Cardamom, Pistachio and Coffee Swiss Roll","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream","IN","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"408","Diana",5,1,5,"Mum's Sunday Tea Lemon Curd Swiss Roll","Chocolate Ganache Surprises","IN","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"409","Enwezor",5,1,9,"Raspberry and Lemon Swiss Roll","Coffee and Walnut Battenberg Squares","IN","Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"410","Iain",5,1,4,"Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream","Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon","IN","Iain Watters",31,"Construction Engineer","London/Belfast"
"411","Jordan",5,1,12,"Kawaii Frasier Swiss Roll","Lemon Drizzle Cakes with Blueberry and Lemon Curd","IN","Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"412","Kate",5,1,6,"Red Velvet and White Chocolate Swiss Roll","Mini Tiered Victoria Sponges","IN","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"413","Luis",5,1,7,"Spanish Swiss Roll","Raspberry and Lemon Genoise Slices with Lemon Drizzles","IN","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"414","Martha",5,1,2,"Tiramisu Swiss Roll","Mini Lemon and Thyme Drizzle Cakes","IN","Martha Collison",17,"Student","Ascot, Berkshire"
"415","Norman",5,1,11,"Black Forest Swiss Roll","Almond and Raspberry Mini Cakes","IN","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"416","Richard",5,1,10,"Pistachio and Strawberry Swiss Roll","Miniature Coffee & Walnut Cakes","IN","Richard Burr",38,"Builder","Mill Hill, London"
"417","Claire",5,1,8,"Chocolatey Orangey Swirly Roll","Mini Chocolate and Cherry Cakes","OUT","Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"418","Nancy",5,1,1,"Coffee and Hazelnut Swiss Roll","Jaffa Orange Cakes","STAR BAKER","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"419","Chetna",5,2,8,"Fenugreek and Carom Crackers","Day On The Beach","IN","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"420","Diana",5,2,7,"Parmesan Triangles","Express, First Class","IN","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"421","Iain",5,2,11,"Za'atar and Fig Biscuits","Wild West Scene","IN","Iain Watters",31,"Construction Engineer","London/Belfast"
"422","Jordan",5,2,6,"Sourdough, Parmesan and Chilli Biscuits","Monster Attack","IN","Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"423","Kate",5,2,4,"Parmesan and Apple Biscuits","Tea Time","IN","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"424","Luis",5,2,3,"Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","George Versus The Dragon","IN","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"425","Martha",5,2,5,"Caramelised Onion and Goat's Cheese Sandwich Biscuits","Ski Village Scene","IN","Martha Collison",17,"Student","Ascot, Berkshire"
"426","Nancy",5,2,2,"Fennel and Rye Thins","Hansel and Gretel Scene","IN","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"427","Norman",5,2,10,"Farthing Biscuits","Zulu Boats at Dawn","IN","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"428","Enwezor",5,2,9,"Pumpkin and Sunflower Savoury Biscuits","Space Adventure Moon Scene","OUT","Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"429","Richard",5,2,1,"Rosemary Seeded Crackers","Pirates!","STAR BAKER","Richard Burr",38,"Builder","Mill Hill, London"
"430","Claire",5,2,NA,NA,NA,NA,"Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"431","Chetna",5,3,8,"Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf","IN","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"432","Diana",5,3,7,"Rustic Picnic Rolls","Sharing Savoury Pinwheel","IN","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"433","Iain",5,3,9,"Cranberry and Walnut Rye Bread Rolls","Moroccan Plaited with a Bessara Dip","IN","Iain Watters",31,"Construction Engineer","London/Belfast"
"434","Kate",5,3,1,"Orange and Cardamom Rye Bread Knots","Prosciutto, Olive and Coriander Bread","IN","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"435","Martha",5,3,3,"Date and Walnut Rye Rolls","Stuffed Sunflower Loaf","IN","Martha Collison",17,"Student","Ascot, Berkshire"
"436","Nancy",5,3,5,"Cider and Walnut Crusty Rolls","'Full English' Stromboli","IN","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"437","Norman",5,3,4,"Rye Bread Rolls","Chicken and Roasted Vegetable Picnic Loaf","IN","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"438","Richard",5,3,6,"Rye and Cranberry Rolls","Pesto Pinwheel","IN","Richard Burr",38,"Builder","Mill Hill, London"
"439","Jordan",5,3,10,"Rye and Spelt Bread Rolls","Strawberry Raspberry Cheesecake Brioche","OUT","Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"440","Luis",5,3,2,"Opposites Attract Rolls","Roscón de Reyes","STAR BAKER","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"441","Claire",5,3,NA,NA,NA,NA,"Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"442","Enwezor",5,3,NA,NA,NA,NA,"Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"443","Chetna",5,4,3,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska","IN","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"444","Diana",5,4,9,"Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan","IN","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"445","Kate",5,4,7,"Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska","IN","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"446","Luis",5,4,2,"Pears in Puddings","Bakewell Alaska","IN","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"447","Martha",5,4,1,"Peanut Butter Chocolate Fondants","Key Lime Baked Alaska","IN","Martha Collison",17,"Student","Ascot, Berkshire"
"448","Nancy",5,4,4,"Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska","IN","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"449","Norman",5,4,8,"Mini Sticky Toffee Puddings","Baked Alaska with Strawberry Surprise","IN","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"450","Iain",5,4,6,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)","OUT","Iain Watters",31,"Construction Engineer","London/Belfast"
"451","Richard",5,4,5,"Black Forest Chocolate Fondants","Tiramisu Baked Alaska","STAR BAKER","Richard Burr",38,"Builder","Mill Hill, London"
"452","Claire",5,4,NA,NA,NA,NA,"Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"453","Enwezor",5,4,NA,NA,NA,NA,"Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"454","Jordan",5,4,NA,NA,NA,NA,"Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"455","Chetna",5,5,2,"Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies","IN","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"456","Luis",5,5,6,"Tropical Manchester Tart","Four Fruity Seasons Tower","IN","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"457","Martha",5,5,1,"Pistachio, Apricot and Honey Custard Tart","Three Little Pigs Pie","IN","Martha Collison",17,"Student","Ascot, Berkshire"
"458","Nancy",5,5,4,"Chocolate Crusted Passion Fruit Tart","Trio of Apple Pies","IN","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"459","Richard",5,5,7,"Fig and Orange Tart","Three Course Autumn Pie Feast","IN","Richard Burr",38,"Builder","Mill Hill, London"
"460","Norman",5,5,5,"Tarte au Citron","Pieful Tower","OUT","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"461","Kate",5,5,3,"Rhubarb and Custard Tart","Rhubarb, Prune and Apple Pies","STAR BAKER","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"462","Diana",5,5,NA,NA,NA,"WD","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"463","Claire",5,5,NA,NA,NA,NA,"Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"464","Enwezor",5,5,NA,NA,NA,NA,"Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"465","Iain",5,5,NA,NA,NA,NA,"Iain Watters",31,"Construction Engineer","London/Belfast"
"466","Jordan",5,5,NA,NA,NA,NA,"Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"467","Diana",5,6,NA,NA,NA,"IN","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"468","Kate",5,6,6,"Pecan, Chocolate and Sour Cherry Yeast Cake","Trio of Dobos Tortes","IN","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"469","Luis",5,6,3,"Apple and Cinnamon Kugelhopf with Honeyed Apples","The Cage on the Rocky Hill","IN","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"470","Martha",5,6,4,"Dark Chocolate and Almond Liqueur Savarin","Chess-Themed Chocolate and Salted Caramel Dobos Torte","IN","Martha Collison",17,"Student","Ascot, Berkshire"
"471","Nancy",5,6,1,"Rum Punch Savarin with Coconut Cream and Tropical Fruits","Chocolate and Caramel Dobos Torte","IN","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"472","Richard",5,6,5,"Fruity Guglhupf with an Orange Glaze","Sugar Forest Dobos Torte","IN","Richard Burr",38,"Builder","Mill Hill, London"
"473","Chetna",5,6,2,"Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream","STAR BAKER","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"474","Claire",5,6,NA,NA,NA,NA,"Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"475","Enwezor",5,6,NA,NA,NA,NA,"Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"476","Iain",5,6,NA,NA,NA,NA,"Iain Watters",31,"Construction Engineer","London/Belfast"
"477","Jordan",5,6,NA,NA,NA,NA,"Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"478","Norman",5,6,NA,NA,NA,NA,"Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"479","Chetna",5,7,6,"Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs","IN","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"480","Diana",5,7,NA,NA,NA,"IN","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"481","Luis",5,7,5,"Childhood Empanadas","Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)","IN","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"482","Martha",5,7,3,"Mini Beef Wellingtons","Rhubarb and Custard & Maple Syrup and Bacon Éclairs","IN","Martha Collison",17,"Student","Ascot, Berkshire"
"483","Nancy",5,7,2,"Spicy Duck Pasties","Smoked Salmon and Horseradish & Raspberry Ripple Éclairs","IN","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"484","Kate",5,7,4,"Spinach and Paneer Spicy Samosa","Neapolitan & Lemon Meringue Éclairs","OUT","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"485","Richard",5,7,1,"Minted Lamb Pasties","Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)","STAR BAKER","Richard Burr",38,"Builder","Mill Hill, London"
"486","Claire",5,7,NA,NA,NA,NA,"Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"487","Enwezor",5,7,NA,NA,NA,NA,"Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"488","Iain",5,7,NA,NA,NA,NA,"Iain Watters",31,"Construction Engineer","London/Belfast"
"489","Jordan",5,7,NA,NA,NA,NA,"Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"490","Norman",5,7,NA,NA,NA,NA,"Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"491","Chetna",5,8,1,"Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts","IN","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"492","Diana",5,8,NA,NA,NA,"IN","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"493","Luis",5,8,2,"Black Forest Cherry Tree","Cocktail Doughnuts
(Mudslide & Raspberry Mojito)","IN","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"494","Nancy",5,8,3,"Lincolnshire Plum Braid","Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)","IN","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"495","Martha",5,8,5,"Spiced Plum Iced Bread Swirl","Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts","OUT","Martha Collison",17,"Student","Ascot, Berkshire"
"496","Richard",5,8,4,"Fruit Swedish Tea Ring","Rhubarb and Custard and Toffee Apple Doughnuts","STAR BAKER","Richard Burr",38,"Builder","Mill Hill, London"
"497","Claire",5,8,NA,NA,NA,NA,"Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"498","Enwezor",5,8,NA,NA,NA,NA,"Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"499","Iain",5,8,NA,NA,NA,NA,"Iain Watters",31,"Construction Engineer","London/Belfast"
"500","Jordan",5,8,NA,NA,NA,NA,"Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"501","Kate",5,8,NA,NA,NA,NA,"Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"502","Norman",5,8,NA,NA,NA,NA,"Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"503","Diana",5,9,NA,NA,NA,"IN","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"504","Luis",5,9,1,"Indian Rose BaklavaHalwa Baklava Rolls","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges","IN","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"505","Nancy",5,9,3,"Coffee and Chocolate BaklavaBreakfast Baklava","Raspberry NonnettesLime and Passion Fruit Entremets","IN","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"506","Chetna",5,9,4,"Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets","OUT","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"507","Richard",5,9,2,"Rose and Pistachio BaklavaWalnut and Almond Baklava","Hazelnut Mocha EntremetsPink Grapefruit Entremets","STAR BAKER","Richard Burr",38,"Builder","Mill Hill, London"
"508","Claire",5,9,NA,NA,NA,NA,"Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"509","Enwezor",5,9,NA,NA,NA,NA,"Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"510","Iain",5,9,NA,NA,NA,NA,"Iain Watters",31,"Construction Engineer","London/Belfast"
"511","Jordan",5,9,NA,NA,NA,NA,"Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"512","Kate",5,9,NA,NA,NA,NA,"Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"513","Martha",5,9,NA,NA,NA,NA,"Martha Collison",17,"Student","Ascot, Berkshire"
"514","Norman",5,9,NA,NA,NA,NA,"Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"515","Diana",5,10,NA,NA,NA,"IN","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"516","Luis",5,10,2,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","Village in Chocolate","Runner-up","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire"
"517","Richard",5,10,3,"Pear Pain au ChocolatPain Au Lait","Mill on the Hill","Runner-up","Richard Burr",38,"Builder","Mill Hill, London"
"518","Nancy",5,10,1,"Apple and Lemon KitesRaspberry and Almond Croissants","Red Windmill","WINNER","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"519","Chetna",5,10,NA,NA,NA,NA,"Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
"520","Claire",5,10,NA,NA,NA,NA,"Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"521","Enwezor",5,10,NA,NA,NA,NA,"Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"522","Iain",5,10,NA,NA,NA,NA,"Iain Watters",31,"Construction Engineer","London/Belfast"
"523","Jordan",5,10,NA,NA,NA,NA,"Jordan Cox",32,"IT Manager","Sneinton, Nottingham"
"524","Kate",5,10,NA,NA,NA,NA,"Kate Henry",41,"Furniture Restorer","Brighton, East Sussex"
"525","Martha",5,10,NA,NA,NA,NA,"Martha Collison",17,"Student","Ascot, Berkshire"
"526","Norman",5,10,NA,NA,NA,NA,"Norman Calder",66,"Retired Naval Officer","Portknockie, Moray"
"527","Alvin",6,1,2,"Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau","IN","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"528","Dorret",6,1,5,"Madeira Cake with Candied Lemons","Enchanted Forest Gâteau","IN","Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"529","Flora",6,1,6,"Blood Orange Madeira Cake","Black Forest Gâteau","IN","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"530","Ian",6,1,8,"Somewhere West of Madeira Cake","Black Forest Cherry Tree","IN","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"531","Mat",6,1,7,"Gin and Tonic Madeira Cake","Black Forest Gateau","IN","Mat Riley",37,"Fire fighter","London"
"532","Nadiya",6,1,12,"Orange and Green Cardamom Madeira Cake","Quadruple Chocolate Black Forest Gâteau","IN","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
"533","Paul",6,1,10,"Lemon, Ginger and Caraway Seed Madeira Cake","Black Forest Chocolate Creation","IN","Paul Jagger",49,"Prison governor","Swansea, Wales"
"534","Sandy",6,1,9,"Madeira Cake with Almond Liqueur and Chopped Apricots","Black Forest Gâteau","IN","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"535","Tamal",6,1,4,"Pistachio and Rose Madeira Cake","Black Forest Gâteau in a Chocolate Shell","IN","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"536","Ugnė",6,1,1,"Lemon and Thyme Madeira Cake","Falling Cup Gâteau","IN","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"537","Stu",6,1,11,"Marley Madeira Cake","Purple Forest Gâteau","OUT","Stu Henshall",35,"Professional musician","Guildford, Surrey"
"538","Marie",6,1,3,"Zingy Citrus Madeira Cake","A Walk in the Black Forest","STAR BAKER","Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"539","Alvin",6,2,6,"Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps","IN","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"540","Dorret",6,2,1,"Almond and Apricot Biscotti with Amber Sugar Crystals","Box of Frogs","IN","Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"541","Flora",6,2,2,"Wedding Biscotti","Honey and Earl Grey Tea Box","IN","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"542","Mat",6,2,5,"Pistachio, Cranberry and White Chocolate Biscotti","Gingerbread Fire Engine","IN","Mat Riley",37,"Fire fighter","London"
"543","Nadiya",6,2,9,"Coconut, Fennel and Pistachio Biscotti","Box of Fortunes","IN","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
