"","baker","series","episode","technical","signature_bake","show_stopper","result","baker_name","baker_age","baker_occupation","hometown"
"81","Yasmin",2,2,6,"Smoked Haddock and Watercress Quiche","Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts","IN","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
"82","Simon",2,2,11,"Smoked Haddock and Watercress Quiche","Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts","OUT","Simon Blackwell",31,"Rugby Coach","Norfolk"
"83","Jason",2,2,3,"Salmon and Pak Choi Quiche","Mint Chocolate Tarts Blueberry Bakewell Tarts","STAR BAKER","Jason White",19,"Civil Engineering Student","Croydon"
"84","Keith",2,2,NA,NA,NA,NA,"Keith Batsford",31,"House husband","Arlesey, Bedfordshire"
"85","Ben",2,3,3,"Walnut, Raisin and Rosemary Loaf",NA,"IN","Ben Frazer",31,"Graphic Designer","Northampton"
"86","Holly",2,3,6,"Picnic Loaf","Stilton and Walnut Rolls","IN","Holly Bell",31,"Advertising executive","Leicester"
"87","Janet",2,3,8,"Zupfe Loaf with Gruyère Cheese","Apple and Walnut Granary Rolls Red Onion Cottage Rolls","IN","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
"88","Jason",2,3,7,"Cheese and Onion Tear and Share Loaf",NA,"IN","Jason White",19,"Civil Engineering Student","Croydon"
"89","Joanne",2,3,1,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper","Unknown","IN",NA,NA,NA,NA
"90","Mary-Anne",2,3,5,"Ploughman's Loaf","Herb and Walnut BreadsChocolate and Chilli Buns","IN","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
"91","Robert",2,3,4,"Rye and Coriander Seed Loaf","Blueberry Brioche RollsLemon and Poppy Seed Rolls","IN","Robert Billington",25,"Photographer","London"
"92","Ian",2,3,10,"Courgette, Caerphilly Cheese and Thyme Loaf","Walnut and Raisin RollsCracked Wheat Logs","OUT","Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"93","Urvashi",2,3,9,"Salt and Peppercorn Loaf","Chilli and Halloumi RollsLemon and Coriander Mini Loaves","OUT","Urvashi Roe",40,"Head of Marketing","Enfield, London"
"94","Yasmin",2,3,2,"Egyptian Dukkah Loaf with Mixed Spices","Pesto Bread
Sweet Coconut Rolls","STAR BAKER","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
"95","Keith",2,3,NA,NA,NA,NA,"Keith Batsford",31,"House husband","Arlesey, Bedfordshire"
"96","Simon",2,3,NA,NA,NA,NA,"Simon Blackwell",31,"Rugby Coach","Norfolk"
"97","Janet",2,4,4,"Christmas Marzipan Biscuits","Raspberry Macarons
Blackcurrant Macarons
Almond Macarons","IN","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
"98","Joanne",2,4,8,"Lavender Biscuits","Blueberry MacaronsCoconut MacaronsStrawberry Macarons","IN",NA,NA,NA,NA
"99","Mary-Anne",2,4,2,"Melting Moments","Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons","IN","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
"100","Robert",2,4,7,"Chocolate and Ginger Oat Biscuits","Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons","IN","Robert Billington",25,"Photographer","London"
"101","Yasmin",2,4,6,"Chocolate Chip and Pistachio Biscotti","Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons","IN","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
"102","Ben",2,4,5,"Stem Ginger Nuts","Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons","OUT","Ben Frazer",31,"Graphic Designer","Northampton"
"103","Holly",2,4,3,"Strawberry and Custard Melts","'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)","STAR BAKER","Holly Bell",31,"Advertising executive","Leicester"
"104","Jason",2,4,1,"Lebkuchen","Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)","STAR BAKER","Jason White",19,"Civil Engineering Student","Croydon"
"105","Ian",2,4,NA,NA,NA,NA,"Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"106","Keith",2,4,NA,NA,NA,NA,"Keith Batsford",31,"House husband","Arlesey, Bedfordshire"
"107","Simon",2,4,NA,NA,NA,NA,"Simon Blackwell",31,"Rugby Coach","Norfolk"
"108","Urvashi",2,4,NA,NA,NA,NA,"Urvashi Roe",40,"Head of Marketing","Enfield, London"
"109","Holly",2,5,4,"Stilton, Potato and Caramelised Onion Pie","Lime Meringue Pie","IN","Holly Bell",31,"Advertising executive","Leicester"
